,Country,Job Title,Gender,Quantity,Percentage
89,Belgium,Data Processing Consultant,Female,1,1%
90,Belgium,Data Processing Manager,Female,1,1%
91,Belgium,Data Processing Systems Analyst,Female,1,1%
92,Belgium,Data Processing Systems Analyst,Male,1,1%
93,Belgium,Data Processing Systems Project Planner,Male,2,2%
94,Belgium,Data Recovery Planner,Male,1,1%
95,Belgium,Data Scientist,Female,2,2%
96,Belgium,Data Scientist,Male,2,2%
97,Belgium,Data Security Administrator,Female,2,2%
98,Belgium,Data Security Administrator,Male,1,1%
99,Belgium,Data Security Analyst,Male,2,2%
100,Belgium,Data Storage Specialist,Male,1,1%
101,Belgium,Data Systems Manager,Female,1,1%
102,Belgium,Data Warehouse Analyst,Female,1,1%
103,Belgium,Data Warehouse Developer,Male,1,1%
104,Belgium,Data Warehouse Specialist,Female,2,2%
105,Belgium,Data Warehousing Manager,Female,2,2%
106,Belgium,Database Administration Associate,Male,2,2%
107,Belgium,Database Architect,Male,1,1%
108,Belgium,Database Consultant,Female,1,1%
109,Belgium,Database Consultant,Male,1,1%
110,Belgium,Database Coordinator,Male,1,1%
111,Belgium,Database Design Analyst,Male,1,1%
112,Belgium,Database Designer,Male,2,2%
113,Belgium,Database Development and Administration Project Manager,Male,1,1%
114,Belgium,Database Engineer,Female,1,1%
115,Belgium,Database Engineer,Male,2,2%
116,Belgium,Database Management System Specialist (DBMS Specialist),Female,1,1%
117,Belgium,Database Management System Specialist (DBMS Specialist),Male,1,1%
118,Belgium,Database Manager,Female,2,2%
119,Belgium,Database Manager,Male,1,1%
120,Belgium,Database Marketing Analyst,Female,2,2%
121,Belgium,Database Security Administrator,Male,1,1%
122,Belgium,Database Software Technician,Female,1,1%
123,Belgium,Database Tester,Female,1,1%
124,Belgium,Database Tester,Male,1,1%
125,Belgium,Director of Data Operations,Female,1,1%
126,Belgium,Director of Data Operations,Male,2,2%
127,Belgium,Electronic Data Processing Auditor (EDP Auditor),Male,1,1%
128,Belgium,Field Artillery Automated Tactical Data System Specialist,Male,1,1%
129,Belgium,Flight Data Technician,Female,1,1%
130,Belgium,Geographic Information Systems Data Manager (GIS Data Manager),Female,1,1%
131,Belgium,Geographic Information Systems Data Manager (GIS Data Manager),Male,2,2%
132,Belgium,Geographic Information Systems Data Specialist (GIS Data Specialist),Male,2,2%
133,Belgium,Head of Information Systems and Data Processing,Male,1,1%
134,Belgium,Health Data Analyst,Male,3,3%
135,Belgium,Log Data Technician,Male,1,1%
136,Belgium,Marketing Database Analyst,Male,1,1%
137,Belgium,Medical Data Analyst,Male,1,1%
138,Belgium,Not working,Female,45,46%
139,Belgium,Not working,Male,31,32%
140,Belgium,Oracle Database Administrator (Oracle DBA),Female,1,1%
141,Belgium,Reference Data Expert,Male,1,1%
142,Belgium,SQL Database Administrator,Male,1,1%
143,Bulgaria,Automatic Data Processing Planner,Female,1,1%
144,Bulgaria,Automatic Data Processing Planner (ADP Planner),Male,1,1%
145,Bulgaria,Business Database Analyst,Male,1,1%
146,Bulgaria,Clinical Data Management Associate Director,Male,1,1%
147,Bulgaria,Clinical Data Manager,Male,1,1%
148,Bulgaria,Computer or Data Processing Systems Consultant,Male,1,1%
149,Bulgaria,Data Abstractor,Female,1,1%
150,Bulgaria,Data Administrator,Female,1,1%
151,Bulgaria,Data Administrator,Male,1,1%
152,Bulgaria,Data Architect,Female,2,2%
153,Bulgaria,Data Base Design Analyst,Male,1,1%
154,Bulgaria,Data Center Manager,Male,1,1%
155,Bulgaria,Data Center Operator,Male,1,1%
156,Bulgaria,Data Communications Analyst,Female,1,1%
157,Bulgaria,Data Compiler,Female,1,1%
158,Bulgaria,Data Control Assistant,Male,1,1%
159,Bulgaria,Data Coordinator,Female,1,1%
160,Bulgaria,Data Management Associate,Male,1,1%
161,Bulgaria,Data Management Information Technology Specialist,Male,1,1%
162,Bulgaria,Data Miner,Female,2,2%
163,Bulgaria,Data Modeling Specialist,Female,1,1%
164,Bulgaria,Data Officer,Female,1,1%
165,Bulgaria,Data Operations Director,Female,1,1%
166,Bulgaria,Data Processing Auditor,Female,1,1%
167,Bulgaria,Data Processing Auditor,Male,1,1%
168,Bulgaria,Data Processing Manager,Female,1,1%
169,Bulgaria,Data Processing Manager,Male,2,2%
170,Bulgaria,Data Processing Systems Analyst,Female,1,1%
171,Bulgaria,Data Processing Systems Analyst,Male,1,1%
172,Bulgaria,Data Recovery Planner,Female,1,1%
173,Bulgaria,Data Reduction Technician,Male,1,1%
174,Bulgaria,Data Security Administrator,Female,1,1%
175,Bulgaria,Data Security Analyst,Female,1,1%
176,Bulgaria,Data Storage Specialist,Female,1,1%
177,Bulgaria,Data Systems Manager,Female,1,1%
178,Bulgaria,Data Warehouse Architect,Female,1,1%
179,Bulgaria,Data Warehouse Architect,Male,2,2%
180,Bulgaria,Data Warehouse Developer,Female,1,1%
181,Bulgaria,Data Warehouse Developer,Male,1,1%
182,Bulgaria,Data Warehouse Specialist,Male,5,5%
183,Bulgaria,Data Warehousing Engineer,Female,1,1%
184,Bulgaria,Data Warehousing Specialist,Female,1,1%
185,Bulgaria,Data Warehousing Specialist,Male,1,1%
186,Bulgaria,Database Administration Associate,Female,1,1%
187,Bulgaria,Database Administration Associate,Male,1,1%
188,Bulgaria,Database Administration Manager,Female,1,1%
189,Bulgaria,Database Analyst,Female,1,1%
190,Bulgaria,Database Architect,Male,1,1%
191,Bulgaria,Database Consultant,Female,1,1%
192,Bulgaria,Database Coordinator,Male,1,1%
193,Bulgaria,Database Design Analyst,Male,1,1%
194,Bulgaria,Database Designer,Female,2,2%
195,Bulgaria,Database Development Project Manager,Female,1,1%
196,Bulgaria,Database Modeler,Male,2,2%
197,Bulgaria,Database Security Administrator,Male,1,1%
198,Bulgaria,Database Security Expert,Male,1,1%
199,Bulgaria,Database Software Technician,Female,1,1%
200,Bulgaria,Database Software Technician,Male,1,1%
201,Bulgaria,Database Tester,Female,2,2%
202,Bulgaria,Director of Data Operations,Male,1,1%
203,Bulgaria,Electronic Data Processing Auditor (EDP Auditor),Male,1,1%
204,Bulgaria,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Female,3,3%
205,Bulgaria,Geographic Information Systems Data Administrator (GIS Data Administrator),Male,1,1%
206,Bulgaria,Geographic Information Systems Data Manager (GIS Data Manager),Male,1,1%
207,Bulgaria,Geographic Information Systems Data Specialist (GIS Data Specialist),Female,3,3%
208,Bulgaria,Geographic Information Systems Data Specialist (GIS Data Specialist),Male,1,1%
209,Bulgaria,Geographic Information Systems Database Administrator (GIS Database Administrator),Female,1,1%
210,Bulgaria,Geographic Information Systems Database Administrator (GIS Database Administrator),Male,1,1%
211,Bulgaria,Head of Information Systems and Data Processing,Female,1,1%
212,Bulgaria,Head of Information Systems and Data Processing,Male,2,2%
213,Bulgaria,Internet Database Specialist,Male,4,4%
214,Bulgaria,"Naval Tactical Data System--Combat Information Center Watch Officer, Carrier Controlled Approach Controller",Female,1,1%
215,Bulgaria,"Naval Tactical Data System--Combat Information Center Watch Officer, Carrier Controlled Approach Controller",Male,1,1%
216,Bulgaria,Not working,Female,26,26%
217,Bulgaria,Not working,Male,19,19%
218,Bulgaria,SCADA Technician (Supervisory Control and Data Acquisition Technician),Male,1,1%
219,Bulgaria,SQL Database Administrator,Male,2,2%
220,Bulgaria,Survey Data Technician,Male,1,1%
221,Cyprus,Clinical Trials Data Coordinator,Female,1,1%
222,Cyprus,Data Communications Analyst,Female,1,1%
223,Cyprus,Data Management Associate,Male,1,1%
224,Cyprus,Data Modeling Specialist,Male,1,1%
225,Cyprus,Data Systems Manager,Male,1,1%
226,Cyprus,Data Warehousing Specialist,Male,1,1%
227,Cyprus,Database Administrator (DBA),Male,1,1%
228,Cyprus,Head of Information Systems and Data Processing,Male,1,1%
229,Cyprus,Not working,Female,2,2%
230,Cyprus,Not working,Male,3,3%
231,Czechia,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Female,1,1%
232,Czechia,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Male,1,1%
233,Czechia,Automatic Data Processing Planner,Male,2,2%
234,Czechia,Automatic Data Processing Planner (ADP Planner),Female,1,1%
235,Czechia,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Female,1,1%
236,Czechia,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Male,2,2%
237,Czechia,Clinical Data Coordinator,Male,1,1%
238,Czechia,Computer or Data Processing Systems Consultant,Female,1,1%
239,Czechia,Computer or Data Processing Systems Consultant,Male,2,2%
240,Czechia,Data Acquisition Technician,Male,1,1%
241,Czechia,Data Administrator,Female,2,2%
242,Czechia,Data Architect,Female,1,1%
243,Czechia,Data Architect,Male,1,1%
244,Czechia,Data Center Operator,Male,1,1%
245,Czechia,Data Collection Technician,Female,1,1%
246,Czechia,Data Communications Analyst,Male,1,1%
247,Czechia,Data Communications Software Consultant,Female,1,1%
248,Czechia,Data Control Assistant,Female,1,1%
249,Czechia,Data Coordinator,Male,1,1%
250,Czechia,Data Entry Machine Operator,Female,1,1%
251,Czechia,Data Entry Specialist,Female,1,1%
252,Czechia,Data Keyer,Female,1,1%
253,Czechia,Data Management Associate,Female,1,1%
254,Czechia,Data Management Information Technology Specialist,Male,1,1%
255,Czechia,Data Manager,Female,1,1%
256,Czechia,Data Miner,Female,1,1%
257,Czechia,Data Modeling Specialist,Female,1,1%
258,Czechia,Data Modeling Specialist,Male,1,1%
259,Czechia,Data Officer,Female,2,2%
260,Czechia,Data Officer,Male,2,2%
261,Czechia,Data Operations Director,Female,2,2%
262,Czechia,Data Operations Director,Male,1,1%
263,Czechia,Data Processing Auditor,Male,1,1%
264,Czechia,Data Processing Auxiliary Equipment Operator,Female,1,1%
265,Czechia,Data Processing Equipment Repairer,Male,1,1%
266,Czechia,Data Processing Manager,Male,1,1%
267,Czechia,Data Processing Mechanic,Female,1,1%
268,Czechia,Data Processing Services Sales Representative,Female,1,1%
269,Czechia,Data Processing Systems Analyst,Male,3,3%
270,Czechia,Data Processing Systems Project Planner,Female,1,1%
271,Czechia,Data Processing Systems Project Planner,Male,1,1%
272,Czechia,Data Sciences Director,Male,1,1%
273,Czechia,Data Scientist,Male,1,1%
274,Czechia,Data Security Analyst,Female,1,1%
275,Czechia,Data Security Analyst,Male,1,1%
276,Czechia,Data Storage Specialist,Female,1,1%
277,Czechia,Data Storage Specialist,Male,2,2%
278,Czechia,Data Systems Manager,Male,1,1%
279,Czechia,Data Technician,Male,1,1%
280,Czechia,Data Warehouse Analyst,Female,1,1%
281,Czechia,Data Warehouse Analyst,Male,1,1%
282,Czechia,Data Warehouse Architect,Female,1,1%
283,Czechia,Data Warehouse Architect,Male,1,1%
284,Czechia,Data Warehouse Developer,Male,1,1%
285,Czechia,Data Warehousing Engineer,Male,1,1%
286,Czechia,Data Warehousing Manager,Female,1,1%
287,Czechia,Data Warehousing Manager,Male,1,1%
288,Czechia,Data Warehousing Specialist,Female,1,1%
289,Czechia,Database Administration Associate,Male,1,1%
290,Czechia,Database Administrator (DBA),Female,1,1%
291,Czechia,Database Architect,Male,2,2%
292,Czechia,Database Consultant,Female,1,1%
293,Czechia,Database Consultant,Male,2,2%
294,Czechia,Database Coordinator,Female,1,1%
295,Czechia,Database Coordinator,Male,1,1%
296,Czechia,Database Designer,Female,1,1%
297,Czechia,Database Development Project Manager,Male,1,1%
298,Czechia,Database Development and Administration Project Manager,Female,1,1%
299,Czechia,Database Engineer,Male,3,3%
300,Czechia,Database Management System Specialist (DBMS Specialist),Female,1,1%
301,Czechia,Database Marketing Analyst,Female,1,1%
302,Czechia,Database Security Administrator,Female,3,3%
303,Czechia,Database Security Expert,Female,1,1%
304,Czechia,Database Security Expert,Male,1,1%
305,Czechia,Database Software Technician,Female,2,2%
306,Czechia,Database Software Technician,Male,1,1%
307,Czechia,Database Specialist,Female,1,1%
308,Czechia,Database Tester,Male,2,2%
309,Czechia,Databases Computer Consultant,Female,1,1%
310,Czechia,Databases Computer Consultant,Male,1,1%
311,Czechia,Databases Software Consultant,Male,1,1%
312,Czechia,Director of Data Operations,Female,1,1%
313,Czechia,Director of Data Operations,Male,2,2%
314,Czechia,Electronic Data Processing Auditor (EDP Auditor),Female,1,1%
315,Czechia,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Male,1,1%
316,Czechia,Flight Test Data Acquisition Technician,Male,1,1%
317,Czechia,GPS Field Data Collector (Global Positioning System Field Data Collector),Female,1,1%
318,Czechia,Geographic Information Systems Data Administrator (GIS Data Administrator),Female,1,1%
319,Czechia,Geographic Information Systems Data Manager (GIS Data Manager),Female,1,1%
320,Czechia,Geographic Information Systems Data Specialist (GIS Data Specialist),Male,2,2%
321,Czechia,Geographic Information Systems Database Administrator (GIS Database Administrator),Female,1,1%
322,Czechia,Geographic Information Systems Database Administrator (GIS Database Administrator),Male,1,1%
323,Czechia,Head of Information Systems and Data Processing,Male,3,3%
324,Czechia,Health Data Analyst,Female,1,1%
325,Czechia,Internet Database Specialist,Female,1,1%
326,Czechia,Internet Database Specialist,Male,3,3%
327,Czechia,Maintenance Data Analyst,Female,1,1%
328,Czechia,Marketing Database Analyst,Male,1,1%
329,Czechia,Micro Computer Data Processor,Male,1,1%
330,Czechia,Naval Tactical Data System--Combat Information Center Officer,Female,1,1%
331,Czechia,"Naval Tactical Data System--Combat Information Center Watch Officer, General",Female,1,1%
332,Czechia,Not working,Female,34,35%
333,Czechia,Not working,Male,25,25%
334,Czechia,Oracle Database Administrator (Oracle DBA),Female,1,1%
335,Czechia,Oracle Database Administrator (Oracle DBA),Male,2,2%
336,Czechia,SCADA Technician (Supervisory Control and Data Acquisition Technician),Male,1,1%
337,Czechia,SQL Database Administrator,Male,1,1%
338,Germany,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Female,3,3%
339,Germany,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Male,4,4%
340,Germany,Automatic Data Processing Planner,Female,2,2%
341,Germany,Automatic Data Processing Planner,Male,7,7%
342,Germany,Automatic Data Processing Planner (ADP Planner),Female,5,5%
343,Germany,Automatic Data Processing Planner (ADP Planner),Male,8,8%
344,Germany,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Female,4,4%
345,Germany,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Male,5,5%
346,Germany,Business Database Analyst,Female,1,1%
347,Germany,Clinical Data Abstractor,Female,2,2%
348,Germany,Clinical Data Abstractor,Male,2,2%
349,Germany,Clinical Data Analyst,Female,2,2%
350,Germany,Clinical Data Associate,Male,1,1%
351,Germany,Clinical Data Coordinator,Male,3,3%
352,Germany,Clinical Data Management Associate Director,Male,3,3%
353,Germany,Clinical Data Management Manager (CDM Manager),Female,1,1%
354,Germany,Clinical Data Manager,Male,1,1%
355,Germany,Clinical Trials Data Coordinator,Male,1,1%
356,Germany,Computer or Data Processing Systems Consultant,Female,5,5%
357,Germany,Computer or Data Processing Systems Consultant,Male,7,7%
358,Germany,Crime Data Specialist,Female,1,1%
359,Germany,Customer Data Technician,Male,2,2%
360,Germany,Data Abstractor,Female,1,1%
361,Germany,Data Abstractor,Male,1,1%
362,Germany,Data Administrator,Female,4,4%
363,Germany,Data Administrator,Male,9,9%
364,Germany,Data Architect,Female,1,1%
365,Germany,Data Architect,Male,12,12%
366,Germany,Data Base Design Analyst,Female,4,4%
367,Germany,Data Base Design Analyst,Male,6,6%
368,Germany,Data Center Manager,Female,1,1%
369,Germany,Data Center Manager,Male,1,1%
370,Germany,Data Center Operator,Female,2,2%
371,Germany,Data Center Operator,Male,3,3%
372,Germany,Data Coder Operator,Male,1,1%
373,Germany,Data Collection Technician,Female,2,2%
374,Germany,Data Collection Technician,Male,1,1%
375,Germany,Data Communications Analyst,Female,7,7%
376,Germany,Data Communications Analyst,Male,6,6%
377,Germany,Data Communications Software Consultant,Female,2,2%
378,Germany,Data Communications Software Consultant,Male,8,8%
379,Germany,Data Compiler,Male,2,2%
380,Germany,Data Control Clerk Supervisor,Male,1,1%
381,Germany,Data Conversion Operator,Female,1,1%
382,Germany,Data Conversion Operator,Male,2,2%
383,Germany,Data Coordinator,Female,4,4%
384,Germany,Data Coordinator,Male,7,7%
385,Germany,Data Entry Machine Operator,Female,1,1%
386,Germany,Data Entry Representative,Female,1,1%
387,Germany,Data Entry Representative,Male,1,1%
388,Germany,Data Entry Supervisor,Male,2,2%
389,Germany,Data Entry Technician,Female,2,2%
390,Germany,Data Entry Technician,Male,1,1%
391,Germany,Data Input Clerk,Female,1,1%
392,Germany,Data Input Clerk,Male,1,1%
393,Germany,Data Keyer,Female,1,1%
394,Germany,Data Keyer,Male,1,1%
395,Germany,Data Management Associate,Male,5,5%
396,Germany,Data Management Information Technology Specialist,Female,5,5%
397,Germany,Data Management Information Technology Specialist,Male,6,6%
398,Germany,Data Management Manager,Female,1,1%
399,Germany,Data Manager,Female,1,1%
400,Germany,Data Miner,Male,8,8%
401,Germany,Data Modeler,Male,1,1%
402,Germany,Data Modeling Specialist,Female,5,5%
403,Germany,Data Modeling Specialist,Male,7,7%
404,Germany,Data Officer,Female,10,10%
405,Germany,Data Officer,Male,8,8%
406,Germany,Data Operations Director,Male,3,3%
407,Germany,Data Processing Auditor,Female,3,3%
408,Germany,Data Processing Auditor,Male,2,2%
409,Germany,Data Processing Auxiliary Equipment Operator,Male,2,2%
410,Germany,Data Processing Clerk,Male,1,1%
411,Germany,Data Processing Consultant,Female,4,4%
412,Germany,Data Processing Consultant,Male,6,6%
413,Germany,Data Processing Control Clerk,Female,1,1%
414,Germany,Data Processing Equipment Repairer,Male,1,1%
415,Germany,Data Processing Manager,Female,3,3%
416,Germany,Data Processing Manager,Male,8,8%
417,Germany,Data Processing Services Sales Representative,Female,1,1%
418,Germany,Data Processing Services Sales Representative,Male,3,3%
419,Germany,Data Processing Supervisor,Male,1,1%
420,Germany,Data Processing Systems Analyst,Female,4,4%
421,Germany,Data Processing Systems Analyst,Male,4,4%
422,Germany,Data Processing Systems Project Planner,Female,1,1%
423,Germany,Data Processing Systems Project Planner,Male,9,9%
424,Germany,Data Processor,Female,1,1%
425,Germany,Data Processor,Male,2,2%
426,Germany,Data Recovery Planner,Female,1,1%
427,Germany,Data Reduction Technician,Male,2,2%
428,Germany,Data Sciences Director,Female,1,1%
429,Germany,Data Sciences Director,Male,1,1%
430,Germany,Data Scientist,Female,2,2%
431,Germany,Data Scientist,Male,6,6%
432,Germany,Data Security Administrator,Female,5,5%
433,Germany,Data Security Administrator,Male,7,7%
434,Germany,Data Security Analyst,Female,2,2%
435,Germany,Data Security Analyst,Male,7,7%
436,Germany,Data Specialist,Female,1,1%
437,Germany,Data Specialist,Male,1,1%
438,Germany,Data Storage Specialist,Female,6,6%
439,Germany,Data Storage Specialist,Male,10,10%
440,Germany,Data Systems Manager,Female,4,4%
441,Germany,Data Systems Manager,Male,6,6%
442,Germany,Data Technician,Female,1,1%
443,Germany,Data Transcriber,Female,1,1%
444,Germany,Data Transcriber,Male,2,2%
445,Germany,Data Typist,Female,1,1%
446,Germany,Data Typist,Male,1,1%
447,Germany,Data Warehouse Analyst,Female,3,3%
448,Germany,Data Warehouse Analyst,Male,6,6%
449,Germany,Data Warehouse Architect,Female,4,4%
450,Germany,Data Warehouse Architect,Male,8,8%
451,Germany,Data Warehouse Developer,Female,6,6%
452,Germany,Data Warehouse Developer,Male,9,9%
453,Germany,Data Warehouse Specialist,Female,4,4%
454,Germany,Data Warehouse Specialist,Male,8,8%
455,Germany,Data Warehousing Engineer,Female,1,1%
456,Germany,Data Warehousing Engineer,Male,6,6%
457,Germany,Data Warehousing Manager,Female,4,4%
458,Germany,Data Warehousing Manager,Male,4,4%
459,Germany,Data Warehousing Specialist,Female,5,5%
460,Germany,Data Warehousing Specialist,Male,6,6%
461,Germany,Database Administration Associate,Female,4,4%
462,Germany,Database Administration Associate,Male,5,5%
463,Germany,Database Administration Manager,Female,6,6%
464,Germany,Database Administration Manager,Male,8,8%
465,Germany,Database Administration Project Manager,Male,3,3%
466,Germany,Database Administrator (DBA),Female,2,2%
467,Germany,Database Administrator (DBA),Male,2,2%
468,Germany,Database Analyst,Female,3,3%
469,Germany,Database Analyst,Male,3,3%
470,Germany,Database Architect,Female,4,4%
471,Germany,Database Architect,Male,5,5%
472,Germany,Database Consultant,Female,7,7%
473,Germany,Database Consultant,Male,6,6%
474,Germany,Database Coordinator,Female,2,2%
475,Germany,Database Coordinator,Male,7,7%
476,Germany,Database Design Analyst,Female,2,2%
477,Germany,Database Design Analyst,Male,2,2%
478,Germany,Database Designer,Female,2,2%
479,Germany,Database Designer,Male,3,3%
480,Germany,Database Developer,Female,1,1%
481,Germany,Database Developer,Male,1,1%
482,Germany,Database Development Project Manager,Male,1,1%
483,Germany,Database Development and Administration Project Manager,Female,3,3%
484,Germany,Database Development and Administration Project Manager,Male,9,9%
485,Germany,Database Engineer,Female,2,2%
486,Germany,Database Engineer,Male,11,11%
487,Germany,Database Management System Specialist (DBMS Specialist),Female,8,8%
488,Germany,Database Management System Specialist (DBMS Specialist),Male,7,7%
489,Germany,Database Manager,Female,2,2%
490,Germany,Database Manager,Male,9,9%
491,Germany,Database Marketing Analyst,Female,1,1%
492,Germany,Database Marketing Analyst,Male,7,7%
493,Germany,Database Modeler,Female,2,2%
494,Germany,Database Modeler,Male,9,9%
495,Germany,Database Programmer,Male,1,1%
496,Germany,Database Security Administrator,Female,2,2%
497,Germany,Database Security Administrator,Male,3,3%
498,Germany,Database Security Expert,Female,1,1%
499,Germany,Database Security Expert,Male,6,6%
500,Germany,Database Software Technician,Female,4,4%
501,Germany,Database Software Technician,Male,7,7%
502,Germany,Database Specialist,Female,2,2%
503,Germany,Database Specialist,Male,9,9%
504,Germany,Database Tester,Female,1,1%
505,Germany,Database Tester,Male,6,6%
506,Germany,Databases Computer Consultant,Female,2,2%
507,Germany,Databases Computer Consultant,Male,6,6%
508,Germany,Databases Software Consultant,Female,1,1%
509,Germany,Databases Software Consultant,Male,5,5%
510,Germany,Datastage Developer,Male,3,3%
511,Germany,Director of Data Operations,Female,5,5%
512,Germany,Director of Data Operations,Male,2,2%
513,Germany,Electronic Data Interchange System Developer (EDI System Developer),Female,8,8%
514,Germany,Electronic Data Interchange System Developer (EDI System Developer),Male,5,5%
515,Germany,Electronic Data Processing Auditor (EDP Auditor),Female,1,1%
516,Germany,Electronic Data Processing Auditor (EDP Auditor),Male,8,8%
517,Germany,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Female,6,6%
518,Germany,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Male,5,5%
519,Germany,Field Artillery Automated Tactical Data System Specialist,Male,1,1%
520,Germany,Field Traffic Data Technician,Male,2,2%
521,Germany,Flight Data Technician,Female,2,2%
522,Germany,Flight Data Technician,Male,2,2%
523,Germany,Flight Test Data Acquisition Technician,Male,2,2%
524,Germany,GPS Field Data Collector (Global Positioning System Field Data Collector),Female,1,1%
525,Germany,GPS Field Data Collector (Global Positioning System Field Data Collector),Male,3,3%
